engine_size,mileage,doors,owner_count,horsepower,car_age,brand_ford,brand_honda,brand_hyundai,brand_tesla,fuel_type_electric,fuel_type_hybrid,fuel_type_petrol,transmission_manual,mileage_per_year,hp_per_engine,age_x_mileage,multi_owner,is_new_car,price
3,118050,2,1,149,16,0,1,0,0,0,0,0,0,7378.12,49.67,1888800,0,0,45286
3,30651,4,1,223,16,0,0,0,0,0,1,0,0,1915.69,74.33,490416,0,0,49362
3,102919,4,3,94,20,1,0,0,0,0,0,0,1,5145.95,31.33,2058380,1,0,33267
1,44963,4,3,238,4,0,0,0,0,1,0,0,0,11240.75,238.0,179852,1,0,45882
4,191944,4,4,128,2,1,0,0,0,0,0,0,0,95972.0,32.0,383888,1,1,48620
4,122776,4,1,370,7,0,1,0,0,0,0,0,0,17539.43,92.5,859432,0,0,64542
4,84198,3,2,110,9,0,0,0,0,0,0,0,0,9355.33,27.5,757782,0,0,51050
4,149811,4,1,107,11,0,0,0,1,0,0,1,1,13619.18,26.75,1647921,0,0,43347
4,135697,2,2,186,3,0,0,1,0,1,0,0,1,45232.33,46.5,407091,0,1,56486
3,68294,3,4,344,10,0,0,0,0,0,0,0,1,6829.4,114.67,682940,1,0,55375
1,184428,2,4,339,19,1,0,0,0,0,0,0,0,9706.74,339.0,3504132,1,0,35686
3,6789,4,2,196,3,0,0,0,1,0,1,0,0,2263.0,65.33,20367,0,1,57585
4,155492,2,2,72,14,0,0,0,0,1,0,0,1,11106.57,18.0,2176888,0,0,38071
4,94297,3,1,362,6,0,0,0,0,0,0,0,1,15716.17,90.5,565782,0,0,65408
3,173678,3,4,85,10,0,0,0,0,0,1,0,0,17367.8,28.33,1736780,1,0,32626
1,174712,3,1,334,3,0,0,0,0,0,1,0,1,58237.33,334.0,524136,0,1,46715
2,123341,2,2,308,9,0,0,1,0,0,0,1,1,13704.56,154.0,1110069,0,0,50780
4,49135,3,3,332,15,0,0,0,1,0,1,0,0,3275.67,83.0,737025,1,0,59547
3,42067,2,3,203,8,0,0,0,0,0,0,0,1,5258.38,67.67,336536,1,0,48685
3,194492,4,3,282,5,0,0,0,0,0,0,1,0,38898.4,94.0,972460,1,0,51130
2,22357,4,2,84,3,0,0,1,0,0,0,1,1,7452.33,42.0,67071,0,1,48141
2,175923,2,1,397,11,0,1,0,0,0,0,0,0,15993.0,198.5,1935153,0,0,49889
4,43262,3,4,198,13,0,0,0,1,1,0,0,0,3327.85,49.5,562406,1,0,52625
3,63643,2,2,191,3,0,0,0,0,0,1,0,0,21214.33,63.67,190929,0,1,56077
4,157606,2,3,310,20,0,0,0,0,0,0,1,0,7880.3,77.5,3152120,1,0,47665
2,96270,2,1,184,13,0,1,0,0,1,0,0,0,7405.38,92.0,1251510,0,0,44898
3,168944,4,4,266,15,0,1,0,0,0,0,0,1,11262.93,88.67,2534160,1,0,41296
2,143761,2,4,291,16,1,0,0,0,0,1,0,1,8985.06,145.5,2300176,1,0,36706
3,74103,4,2,283,6,0,0,1,0,0,1,0,1,12350.5,94.33,444618,0,0,58402
2,91268,2,2,149,6,0,0,0,0,0,0,1,0,15211.33,74.5,547608,0,0,47897
2,91310,4,4,332,19,0,0,0,0,0,1,0,1,4805.79,166.0,1734890,1,0,43094
3,42412,2,4,204,20,1,0,0,0,0,1,0,0,2120.6,68.0,848240,1,0,43186
4,52734,2,3,375,10,0,0,1,0,0,1,0,0,5273.4,93.75,527340,1,0,63508
1,92793,3,4,311,11,1,0,0,0,0,1,0,1,8435.73,311.0,1020723,1,0,40110
4,27228,3,2,372,3,0,0,0,1,0,0,0,0,9076.0,93.0,81684,0,1,70167
2,125627,2,1,339,3,0,0,1,0,1,0,0,1,41875.67,169.5,376881,0,1,55141
2,82924,2,3,356,4,0,0,1,0,0,0,0,0,20731.0,178.0,331696,1,0,54500
1,16319,2,3,119,13,0,0,0,0,0,0,0,0,1255.31,119.0,212147,1,0,32598
2,11475,2,4,258,6,0,0,1,0,0,0,1,1,1912.5,129.0,68850,1,0,49782
3,150800,3,1,366,13,1,0,0,0,0,1,0,0,11600.0,122.0,1960400,0,0,53026
1,34545,4,3,83,4,0,0,1,0,0,0,0,1,8636.25,83.0,138180,1,0,39894
3,101636,2,2,301,9,0,0,0,0,0,1,0,0,11292.89,100.33,914724,0,0,49521
4,197828,3,4,330,13,0,0,0,0,0,0,0,1,15217.54,82.5,2571764,1,0,53863
1,174771,2,2,261,7,0,0,0,1,0,0,0,0,24967.29,261.0,1223397,0,0,39513
4,172893,2,4,272,17,1,0,0,0,0,0,1,1,10170.18,68.0,2939181,1,0,45504
2,35615,4,3,330,20,0,1,0,0,1,0,0,1,1780.75,165.0,712300,1,0,45371
3,18746,2,4,182,20,0,1,0,0,1,0,0,0,937.3,60.67,374920,1,0,39564
2,158817,2,1,105,2,0,0,1,0,0,0,0,1,79408.5,52.5,317634,0,1,42935
1,6245,4,2,148,5,0,0,0,1,0,0,1,0,1249.0,148.0,31225,0,0,44173
1,122408,4,1,344,7,0,0,0,0,0,1,0,0,17486.86,344.0,856856,0,0,47706
1,117143,4,2,347,5,0,0,1,0,0,1,0,1,23428.6,347.0,585715,0,0,48402
1,160925,4,2,231,16,0,0,0,1,0,0,0,1,10057.81,231.0,2574800,0,0,33193
3,32632,3,4,381,12,1,0,0,0,1,0,0,1,2719.33,127.0,391584,1,0,59961
4,17856,3,3,86,19,1,0,0,0,0,0,1,1,939.79,21.5,339264,1,0,41856
4,192965,3,3,273,3,1,0,0,0,1,0,0,1,64321.67,68.25,578895,1,1,53163
3,73049,2,1,86,15,1,0,0,0,0,1,0,0,4869.93,28.67,1095735,0,0,44086
1,63182,4,4,271,12,1,0,0,0,1,0,0,1,5265.17,271.0,758184,1,0,39943
2,138873,4,3,279,20,0,0,0,1,0,1,0,0,6943.65,139.5,2777460,1,0,33014
2,175821,3,2,147,12,0,0,0,1,0,0,1,1,14651.75,73.5,2109852,0,0,36896
2,60654,2,2,125,5,0,0,0,0,0,0,1,1,12130.8,62.5,303270,0,0,42248
3,60381,2,4,149,8,0,1,0,0,0,0,0,1,7547.62,49.67,483048,1,0,43852
3,63601,2,1,375,12,1,0,0,0,0,0,0,0,5300.08,125.0,763212,0,0,55550
2,151154,3,4,127,8,0,0,0,0,1,0,0,1,18894.25,63.5,1209232,1,0,34143
2,150720,2,1,87,12,0,0,0,1,0,0,1,0,12560.0,43.5,1808640,0,0,35358
4,5364,2,4,277,10,0,0,0,0,0,0,1,0,536.4,69.25,53640,1,0,56738
4,170640,2,2,204,17,0,0,0,0,0,0,0,0,10037.65,51.0,2900880,0,0,41728
2,12436,4,4,79,19,0,0,0,0,0,1,0,1,654.53,39.5,236284,1,0,28828
4,91713,3,3,138,15,0,0,0,0,1,0,0,0,6114.2,34.5,1375695,1,0,44894
4,162826,4,3,152,7,0,0,0,1,1,0,0,1,23260.86,38.0,1139782,1,0,50014
2,65194,4,4,178,17,0,0,0,0,0,0,0,0,3834.94,89.0,1108298,1,0,34080
2,29544,3,1,113,15,1,0,0,0,0,0,1,1,1969.6,56.5,443160,0,0,39204
3,196252,4,1,201,2,0,0,1,0,0,0,0,0,98126.0,67.0,392504,0,1,47620
4,68295,2,2,87,15,0,0,0,0,0,0,0,1,4553.0,21.75,1024425,0,0,44249
4,148710,2,2,162,19,0,0,0,0,0,0,0,1,7826.84,40.5,2825490,0,0,42045
1,74409,2,1,363,3,0,0,0,1,0,0,0,1,24803.0,363.0,223227,0,1,56825
2,131839,2,4,217,8,0,0,0,0,0,1,0,0,16479.88,108.5,1054712,1,0,44971
3,118759,3,2,241,12,0,0,0,0,0,1,0,0,9896.58,80.33,1425108,0,0,48245
3,22157,4,1,120,2,0,0,0,1,0,0,1,1,11078.5,40.0,44314,0,1,52606
1,181637,4,1,88,8,0,0,1,0,0,0,0,0,22704.62,88.0,1453096,0,0,32053
4,70888,2,4,189,10,0,0,0,0,0,1,0,0,7088.8,47.25,708880,1,0,50554
3,192167,2,3,393,20,0,0,0,0,0,0,1,0,9608.35,131.0,3843340,1,0,45760
4,69947,4,1,294,14,0,1,0,0,0,0,0,0,4996.21,73.5,979258,0,0,57802
4,75880,3,2,135,6,1,0,0,0,1,0,0,0,12646.67,33.75,455280,0,0,53634
4,9507,4,4,210,20,0,0,0,0,0,1,0,0,475.35,52.5,190140,1,0,47091
2,108134,2,4,258,9,0,0,0,1,0,0,1,0,12014.89,129.0,973206,1,0,45068
3,48988,2,4,227,14,0,0,0,0,1,0,0,1,3499.14,75.67,685832,1,0,45666
1,103421,3,3,167,6,1,0,0,0,0,0,0,1,17236.83,167.0,620526,1,0,38145
3,152937,4,3,227,2,0,0,0,0,0,0,0,0,76468.5,75.67,305874,1,1,54418
1,107591,3,2,315,20,0,0,0,1,0,0,0,1,5379.55,315.0,2151820,0,0,34111
3,134614,3,2,305,4,0,0,0,0,0,1,0,1,33653.5,101.67,538456,0,0,60116
1,32213,2,4,102,4,0,1,0,0,0,0,1,1,8053.25,102.0,128852,1,0,41738
1,192026,4,2,310,18,1,0,0,0,1,0,0,0,10668.11,310.0,3456468,0,0,34834
1,62450,2,1,399,9,1,0,0,0,0,0,1,0,6938.89,399.0,562050,0,0,56037
1,140549,4,3,344,15,0,0,0,1,0,1,0,0,9369.93,344.0,2108235,1,0,38048
3,67222,2,4,140,10,0,1,0,0,0,0,1,0,6722.2,46.67,672220,1,0,46394
3,142605,2,4,382,18,0,0,0,0,0,1,0,0,7922.5,127.33,2566890,1,0,50180
3,185467,4,1,285,13,0,0,0,0,0,0,0,1,14266.69,95.0,2411071,0,0,45444
1,159468,4,1,148,7,0,0,1,0,1,0,0,0,22781.14,148.0,1116276,0,0,38907
1,17755,2,1,238,7,0,0,0,0,0,0,0,1,2536.43,238.0,124285,0,0,44278
1,136937,4,1,367,11,0,0,0,0,0,0,1,0,12448.82,367.0,1506307,0,0,43030
1,147245,2,4,249,19,0,0,0,0,0,0,0,1,7749.74,249.0,2797655,1,0,28639
4,194977,4,3,185,7,0,0,0,0,1,0,0,0,27853.86,46.25,1364839,1,0,49388
2,174169,2,3,329,12,0,1,0,0,0,0,0,0,14514.08,164.5,2090028,1,0,42926
2,38371,2,1,329,18,0,1,0,0,1,0,0,0,2131.72,164.5,690678,0,0,47734
1,147326,2,2,74,13,1,0,0,0,1,0,0,0,11332.77,74.0,1915238,0,0,27454
1,140090,3,4,366,5,0,0,0,1,0,0,0,0,28018.0,366.0,700450,1,0,50950
3,10192,4,3,177,19,0,0,1,0,0,1,0,0,536.42,59.0,193648,1,0,43582
3,7015,2,1,186,15,0,0,0,0,0,0,1,1,467.67,62.0,105225,0,0,50466
2,113154,3,2,82,9,0,0,0,0,0,1,0,0,12572.67,41.0,1018386,0,0,33885
1,33343,2,2,211,16,0,0,0,0,0,1,0,1,2083.94,211.0,533488,0,0,34294
2,74306,3,1,257,19,0,0,0,1,0,0,0,0,3910.84,128.5,1411814,0,0,43637
1,10829,2,4,350,5,0,1,0,0,0,0,1,1,2165.8,350.0,54145,1,0,56892
1,39381,2,3,184,16,0,0,1,0,0,0,1,1,2461.31,184.0,630096,1,0,33949
4,116451,3,2,305,6,1,0,0,0,0,1,0,1,19408.5,76.25,698706,0,0,60302
3,23263,3,3,79,9,0,1,0,0,0,0,0,1,2584.78,26.33,209367,1,0,47563
3,189332,4,3,268,17,0,0,0,1,0,0,1,1,11137.18,89.33,3218644,1,0,36941
2,179378,4,2,321,6,1,0,0,0,0,1,0,1,29896.33,160.5,1076268,0,0,46842
2,63418,3,1,119,10,0,0,0,0,0,0,1,0,6341.8,59.5,634180,0,0,41544
3,5148,4,2,211,5,0,0,0,0,0,0,0,1,1029.6,70.33,25740,0,0,55577
3,137826,3,2,340,15,0,0,0,0,0,0,0,0,9188.4,113.33,2067390,0,0,49262
3,31745,4,4,85,7,0,0,0,1,0,0,0,0,4535.0,28.33,222215,1,0,46690
1,77914,2,3,71,3,0,0,1,0,0,0,1,1,25971.33,71.0,233742,1,1,37380
3,191905,4,1,227,9,1,0,0,0,1,0,0,1,21322.78,75.67,1727145,0,0,45270
2,156212,2,3,99,10,0,1,0,0,0,0,1,0,15621.2,49.5,1562120,1,0,37381
4,65653,2,2,151,8,0,0,0,1,1,0,0,1,8206.62,37.75,525224,0,0,56926
3,197593,4,1,100,10,0,0,0,1,0,0,0,1,19759.3,33.33,1975930,0,0,41642
3,83315,3,1,305,5,0,0,0,0,0,1,0,1,16663.0,101.67,416575,0,0,56026
1,36075,2,1,217,6,0,0,0,0,1,0,0,1,6012.5,217.0,216450,0,0,45399
3,166769,2,1,246,6,0,0,0,0,0,0,0,1,27794.83,82.0,1000614,0,0,50663
1,190616,4,4,104,17,1,0,0,0,0,0,0,1,11212.71,104.0,3240472,1,0,21838
2,14795,3,1,92,10,0,0,0,0,1,0,0,1,1479.5,46.0,147950,0,0,39641
1,69555,3,2,175,2,0,0,0,1,0,1,0,0,34777.5,175.0,139110,0,1,47653
3,188276,4,4,166,6,0,0,1,0,0,0,0,1,31379.33,55.33,1129656,1,0,43110
1,108107,3,2,299,17,0,0,0,0,1,0,0,0,6359.24,299.0,1837819,0,0,40762
2,56529,4,2,296,8,1,0,0,0,0,1,0,0,7066.12,148.0,452232,0,0,55467
4,147744,4,3,169,2,1,0,0,0,0,1,0,0,73872.0,42.25,295488,1,1,55865
1,190310,4,1,124,19,0,0,0,0,0,0,0,0,10016.32,124.0,3615890,0,0,23719
3,172022,2,1,264,7,1,0,0,0,0,0,1,1,24574.57,88.0,1204154,0,0,50180
2,16009,2,2,77,17,0,0,0,0,0,0,1,0,941.71,38.5,272153,0,0,38709
1,183168,2,1,384,5,0,1,0,0,0,0,0,0,36633.6,384.0,915840,0,0,48498
4,155616,4,4,197,7,0,0,0,0,0,1,0,0,22230.86,49.25,1089312,1,0,52287
1,191800,2,3,101,6,0,0,0,0,0,0,0,0,31966.67,101.0,1150800,1,0,27945
2,34381,2,1,162,18,1,0,0,0,1,0,0,0,1910.06,81.0,618858,0,0,44152
3,132769,2,1,76,13,1,0,0,0,0,0,1,1,10213.0,25.33,1725997,0,0,38078
3,161359,4,4,327,5,0,0,0,0,1,0,0,1,32271.8,109.0,806795,1,0,52449
3,69610,4,3,289,11,0,0,0,0,0,0,0,0,6328.18,96.33,765710,1,0,54177
2,73122,4,4,309,17,0,1,0,0,0,0,0,1,4301.29,154.5,1243074,1,0,40387
1,73184,2,2,175,3,0,0,0,0,0,1,0,1,24394.67,175.0,219552,0,1,43479
3,176153,3,2,105,19,0,0,0,0,0,1,0,0,9271.21,35.0,3346907,0,0,35517
3,181384,2,1,114,4,1,0,0,0,0,1,0,0,45346.0,38.0,725536,0,0,43376
4,92228,2,3,367,8,0,0,0,0,1,0,0,0,11528.5,91.75,737824,1,0,62628
4,77943,4,2,378,17,0,0,0,0,0,1,0,1,4584.88,94.5,1325031,0,0,59252
4,85770,4,4,78,10,0,1,0,0,0,0,0,0,8577.0,19.5,857700,1,0,43144
2,57726,2,2,156,14,0,0,0,1,0,1,0,1,4123.29,78.0,808164,0,0,39614
2,158283,2,2,246,9,0,1,0,0,0,0,1,1,17587.0,123.0,1424547,0,0,43348
4,165552,3,4,199,11,0,0,0,0,0,1,0,1,15050.18,49.75,1821072,1,0,43001
2,52780,3,1,264,14,1,0,0,0,1,0,0,0,3770.0,132.0,738920,0,0,47700
1,193210,4,3,80,8,0,1,0,0,0,0,1,1,24151.25,80.0,1545680,1,0,30810
4,47503,3,1,375,14,0,0,0,0,0,0,1,0,3393.07,93.75,665042,0,0,62133
4,62893,3,4,191,4,1,0,0,0,0,0,1,0,15723.25,47.75,251572,1,0,56563
2,182265,4,2,304,11,1,0,0,0,1,0,0,0,16569.55,152.0,2004915,0,0,45759
1,66358,3,3,100,11,0,0,0,0,0,0,0,0,6032.55,100.0,729938,1,0,33532
2,85857,2,1,293,17,0,1,0,0,0,1,0,0,5050.41,146.5,1459569,0,0,45406
4,125457,3,4,222,17,0,0,0,0,0,0,1,1,7379.82,55.5,2132769,1,0,44013
4,158189,4,2,281,14,0,0,0,1,0,0,1,1,11299.21,70.25,2214646,0,0,52037
1,195128,2,2,161,20,1,0,0,0,0,0,1,1,9756.4,161.0,3902560,0,0,25805
1,122928,3,1,198,9,0,0,1,0,0,0,0,1,13658.67,198.0,1106352,0,0,39913
4,63706,2,4,266,8,0,0,1,0,0,0,0,1,7963.25,66.5,509648,1,0,56434
